game_id,team,starter_id,starter_name
ANA199808050,LAA,olivo001,Omar Olivares
ANA199808170,CHW,parqj001,Jim Parque
ANA199808170,LAA,spars001,Steve Sparks
ANA199808180,CHW,snydj001,John Snyder
ANA199808180,LAA,finlc001,Chuck Finley
ANA199808190,DET,thomj003,Justin Thompson
ANA199808190,LAA,mcdoj001,Jack McDowell
ANA199808200,DET,poweb001,Brian Powell
ANA199808200,LAA,olivo001,Omar Olivares
ANA199808210,LAA,judej001,Jeff Juden
ANA199808210,TOR,carpc002,Chris Carpenter
ANA199808220,LAA,spars001,Steve Sparks
ANA199808220,TOR,escok001,Kelvim Escobar
ANA199808230,LAA,finlc001,Chuck Finley
ANA199808230,TOR,willw001,Woody Williams
ANA199809040,KC,rappp001,Pat Rapp
ANA199809040,LAA,hillk001,Ken Hill
ANA199809050,KC,barbb002,Brian Barber
ANA199809050,LAA,mcdoj001,Jack McDowell
ANA199809060,KC,belct001,Tim Belcher
ANA199809060,LAA,finlc001,Chuck Finley
ANA199809080,LAA,spars001,Steve Sparks
ANA199809080,MIN,radkb001,Brad Radke
ANA199809090,LAA,hillk001,Ken Hill
ANA199809090,MIN,rodrf001,Frankie Rodriguez
ANA199809180,LAA,hillk001,Ken Hill
ANA199809180,SEA,clouk001,Ken Cloude
ANA199809190,LAA,mcdoj001,Jack McDowell
ANA199809190,SEA,suzum001,Mac Suzuki
ANA199809200,LAA,olivo001,Omar Olivares
ANA199809200,SEA,abbop001,Paul Abbott
ANA199809210,LAA,spars001,Steve Sparks
ANA199809210,TEX,stott001,Todd Stottlemyre
ANA199809220,LAA,finlc001,Chuck Finley
ANA199809220,TEX,hellr001,Rick Helling
ANA199809230,LAA,hillk001,Ken Hill
ANA199809230,TEX,burkj001,John Burkett
ANA199904060,CLE,wrigj002,Jaret Wright
ANA199904060,LAA,belct001,Tim Belcher
ANA199904070,CLE,burbd001,Dave Burba
ANA199904070,LAA,hillk001,Ken Hill
ANA199904080,CLE,colob001,Bartolo Colon
ANA199904080,LAA,spars001,Steve Sparks
ANA199904160,LAA,belct001,Tim Belcher
ANA199904160,SEA,moyej001,Jamie Moyer
ANA199904170,LAA,hillk001,Ken Hill
ANA199904170,SEA,garcf002,Freddy Garcia
ANA199904180,LAA,spars001,Steve Sparks
ANA199904180,SEA,hincb001,Brett Hinchliffe
ANA199904260,LAA,finlc001,Chuck Finley
ANA199904260,TOR,carpc002,Chris Carpenter
ANA199904270,LAA,olivo001,Omar Olivares
ANA199904270,TOR,hentp001,Pat Hentgen
ANA199904280,LAA,belct001,Tim Belcher
ANA199904280,TOR,welld001,David Wells
ANA199904290,LAA,hillk001,Ken Hill
ANA199904290,TOR,hallr001,Roy Halladay
ANA199904300,CHW,navaj001,Jaime Navarro
ANA199904300,LAA,spars001,Steve Sparks
ANA199905010,CHW,baldj002,James Baldwin
ANA199905010,LAA,finlc001,Chuck Finley
ANA199905020,CHW,parqj001,Jim Parque
ANA199905020,LAA,olivo001,Omar Olivares
ANA199905030,CHW,snydj001,John Snyder
ANA199905030,LAA,belct001,Tim Belcher
ANA199905140,LAA,belct001,Tim Belcher
ANA199905140,TB,wittb001,Bobby Witt
ANA199905150,LAA,hillk001,Ken Hill
ANA199905150,TB,saunt001,Tony Saunders
ANA199905160,LAA,spars001,Steve Sparks
ANA199905160,TB,alvaw001,Wilson Alvarez
ANA199905250,BAL,erics001,Scott Erickson
ANA199905250,LAA,olivo001,Omar Olivares
ANA199905260,BAL,ponss001,Sidney Ponson
ANA199905260,LAA,belct001,Tim Belcher
ANA199905270,BAL,guzmj003,Juan Guzman
ANA199905270,LAA,hillk001,Ken Hill
ANA199905280,KC,appik001,Kevin Appier
ANA199905280,LAA,finlc001,Chuck Finley
ANA199905290,KC,fussc001,Chris Fussell
ANA199905290,LAA,spars001,Steve Sparks
ANA199905300,KC,rosaj001,Jose Rosado
ANA199905300,LAA,olivo001,Omar Olivares
ANA199905310,LAA,belct001,Tim Belcher
ANA199905310,MIN,hawkl001,LaTroy Hawkins
ANA199906010,LAA,hillk001,Ken Hill
ANA199906010,MIN,lincm001,Mike Lincoln
ANA199906020,LAA,finlc001,Chuck Finley
ANA199906020,MIN,radkb001,Brad Radke
ANA199906110,ARI,reyna001,Armando Reynoso
ANA199906110,LAA,hillk001,Ken Hill
ANA199906120,ARI,benea001,Andy Benes
ANA199906120,LAA,finlc001,Chuck Finley
ANA199906130,ARI,daalo001,Omar Daal
ANA199906130,LAA,olivo001,Omar Olivares
ANA199906250,ATH,haynj001,Jimmy Haynes
ANA199906250,LAA,olivo001,Omar Olivares
ANA199906260,ATH,hereg001,Gil Heredia
ANA199906260,LAA,belct001,Tim Belcher
ANA199906270,ATH,rogek001,Kenny Rogers
ANA199906270,LAA,spars001,Steve Sparks
ANA199906280,LAA,finlc001,Chuck Finley
ANA199906280,TEX,morgm001,Mike Morgan
ANA199906290,LAA,olivo001,Omar Olivares
ANA199906290,TEX,burkj001,John Burkett
ANA199906300,LAA,hillk001,Ken Hill
ANA199906300,TEX,glynr001,Ryan Glynn
ANA199907050,LAA,hases001,Shigetoshi Hasegawa
ANA199907050,SEA,fassj001,Jeff Fassero
ANA199907060,LAA,fyhrm001,Mike Fyhrie
ANA199907060,SEA,mechg001,Gil Meche
ANA199907070,LAA,spars001,Steve Sparks
ANA199907070,SEA,moyej001,Jamie Moyer
ANA199907150,LAA,finlc001,Chuck Finley
ANA199907150,LAD,browk001,Kevin Brown
ANA199907160,LAA,olivo001,Omar Olivares
ANA199907160,LAD,valdi001,Ismael Valdez
ANA199907170,LAA,spars001,Steve Sparks
ANA199907170,LAD,parkc002,Chan Ho Park
ANA199907180,LAA,fyhrm001,Mike Fyhrie
ANA199907180,SD,boehb001,Brian Boehringer
ANA199907190,LAA,hillk001,Ken Hill
ANA199907190,SD,clemm001,Matt Clement
ANA199907200,LAA,finlc001,Chuck Finley
ANA199907200,SD,ashba002,Andy Ashby
ANA199907300,LAA,hillk001,Ken Hill
ANA199907300,MIN,radkb001,Brad Radke
ANA199907310,LAA,finlc001,Chuck Finley
ANA199907310,MIN,milte001,Eric Milton
ANA199908010,LAA,spars001,Steve Sparks
ANA199908010,MIN,maysj001,Joe Mays
