game_id,date,season,season_label,sport,game_type,team,opponent,home_away,score_for,score_against,result,margin,total,decided_in,line,total_line,moneyline,odds_win,odds_draw,implied_win,line_result,ou_result,favorite
1990020074,1990-10-19,1990,1990-91,nhl,regular,EDM,BOS,H,8,1,W,7,9,REG,,,,,,,,,
1990020075,1990-10-19,1990,1990-91,nhl,regular,CAR,LAK,A,2,5,L,-3,7,REG,,,,,,,,,
1990020075,1990-10-19,1990,1990-91,nhl,regular,LAK,CAR,H,5,2,W,3,7,REG,,,,,,,,,
1990020076,1990-10-19,1990,1990-91,nhl,regular,PIT,BUF,A,4,4,T,0,8,OT,,,,,,,,,
1990020076,1990-10-19,1990,1990-91,nhl,regular,BUF,PIT,H,4,4,T,0,8,OT,,,,,,,,,
1990020077,1990-10-19,1990,1990-91,nhl,regular,NYI,WSH,A,3,4,L,-1,7,REG,,,,,,,,,
1990020077,1990-10-19,1990,1990-91,nhl,regular,WSH,NYI,H,4,3,W,1,7,REG,,,,,,,,,
1990020078,1990-10-19,1990,1990-91,nhl,regular,NYR,NJD,A,2,3,L,-1,5,REG,,,,,,,,,
1990020078,1990-10-19,1990,1990-91,nhl,regular,NJD,NYR,H,3,2,W,1,5,REG,,,,,,,,,
1990020079,1990-10-19,1990,1990-91,nhl,regular,VAN,ARI,A,5,7,L,-2,12,REG,,,,,,,,,
1990020079,1990-10-19,1990,1990-91,nhl,regular,ARI,VAN,H,7,5,W,2,12,REG,,,,,,,,,
1990020080,1990-10-20,1990,1990-91,nhl,regular,BOS,CGY,A,1,8,L,-7,9,REG,,,,,,,,,
1990020080,1990-10-20,1990,1990-91,nhl,regular,CGY,BOS,H,8,1,W,7,9,REG,,,,,,,,,
1990020081,1990-10-20,1990,1990-91,nhl,regular,BUF,NYI,A,3,1,W,2,4,REG,,,,,,,,,
1990020081,1990-10-20,1990,1990-91,nhl,regular,NYI,BUF,H,1,3,L,-2,4,REG,,,,,,,,,
1990020082,1990-10-20,1990,1990-91,nhl,regular,PHI,MTL,A,5,3,W,2,8,REG,,,,,,,,,
1990020082,1990-10-20,1990,1990-91,nhl,regular,MTL,PHI,H,3,5,L,-2,8,REG,,,,,,,,,
1990020083,1990-10-20,1990,1990-91,nhl,regular,DET,COL,A,3,5,L,-2,8,REG,,,,,,,,,
1990020083,1990-10-20,1990,1990-91,nhl,regular,COL,DET,H,5,3,W,2,8,REG,,,,,,,,,
1990020084,1990-10-20,1990,1990-91,nhl,regular,NYR,PIT,A,4,3,W,1,7,REG,,,,,,,,,
1990020084,1990-10-20,1990,1990-91,nhl,regular,PIT,NYR,H,3,4,L,-1,7,REG,,,,,,,,,
